fold_id,train_start,train_end,test_start,test_end,selected_rank,asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
2,2023-09-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,2024-09-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,3,AVAX/USDT:USDT,APT/USDT:USDT,2023-09-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,5000,0.9632511562433497,-3.382814769119898,0.044295398375842066,-3.3823988926667488,0.011573727777059263,0.8742838195414979,125.75042601176082,1.604923882351684,0.07745209678209557,True
2,2023-09-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,2024-09-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,4,DOGE/USDT:USDT,LTC/USDT:USDT,2023-09-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,5000,0.9545966644777776,-5.298513439949051,4.4850119284558426e-05,-5.3006280758730755,5.459273646613879e-06,1.3783871578508613,54.551247205012785,-7.9858143957376395,0.06371952800190123,True
2,2023-09-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,2024-09-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,5,AVAX/USDT:USDT,OP/USDT:USDT,2023-09-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,5000,0.9451364126162213,-3.440398289284706,0.0380574764418856,-3.4418776737413084,0.009611459843581078,0.7578671729184298,185.4398486514642,2.8844583049246246,0.09419775264584258,True
3,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,2024-12-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,1,BTC/USDT:USDT,DOGE/USDT:USDT,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,5000,0.981773886363784,-3.374142256597848,0.045304740638427855,-3.373326496022368,0.01190248185296091,0.3583972894228251,117.32540763428213,11.812295907749077,0.03487514994725554,True
3,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,2024-12-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,2,ATOM/USDT:USDT,ARB/USDT:USDT,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,5000,0.9746170903055158,-4.037024346922484,0.006354824920367978,-4.037423672372908,0.0012267419257675329,1.0141568552866882,100.75434993674189,2.13268934553839,0.05907623182197039,True
3,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,2024-12-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,3,ETH/USDT:USDT,ATOM/USDT:USDT,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,5000,0.9535062053851096,-3.577150711024809,0.026141953403786264,-3.576708966071206,0.006222235624667232,0.6100158857524474,145.10199881920784,6.937517993489698,0.05087719424461308,True
3,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,2024-12-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,4,AVAX/USDT:USDT,LTC/USDT:USDT,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,5000,0.949315519112729,-3.589592447772922,0.02523741903255318,-3.5890534208515557,0.005973784505218645,1.1498864422947939,114.57161335669241,-1.594589096915197,0.07512769897525876,True
3,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,2024-12-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,5,NEAR/USDT:USDT,OP/USDT:USDT,2023-12-23T15:00:00+00:00,2024-12-23T14:00:00+00:00,5000,0.9330977711042657,-3.9319198388214045,0.008957938239373851,-3.9315328532886893,0.0018146567127208298,0.9762041266249656,107.45885699553403,1.0861025614460846,0.07249005642069682,True
4,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,2025-03-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,1,AVAX/USDT:USDT,ARB/USDT:USDT,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,5000,0.9762663144832192,-3.705204441769278,0.018045002027260736,-3.7049592748612126,0.004043935798384029,0.9336190647639321,118.24035481192689,3.8681938722800995,0.060318423622940785,True
4,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,2025-03-23T15:00:00+00:00,2025-06-23T14:00:00+00:00,2,NEAR/USDT:USDT,OP/USDT:USDT,2024-03-23T15:00:00+00:00,2025-03-23T14:00:00+00:00,5000,0.973884503530293,-4.62092270637241,0.0007696565582076745,-4.620515497325828,0.00011837820048491344,0.9346103423583187,85.29645840504597,1.0917058014223353,0.06241414452945353,True
