fold_id,train_start,train_end,test_start,test_end,asset_a,asset_b,hedge_ratio_train,coint_pvalue_train,adf_pvalue_train,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_trades,test_win_rate,test_profit_factor,fees_paid,capital_depleted,fold_status
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,NEAR/USDT:USDT,APT/USDT:USDT,1.8721688917822543,0.012358732318624464,0.0026299126836351336,-0.09640984852058687,-2.2802793926704625,-2.2725252924062715,-0.13356277199315647,21,0.5238095238095238,0.4673899861838886,157.08813693390456,False,ok
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,BTC/USDT:USDT,APT/USDT:USDT,0.9222544340063238,0.009802950051432205,0.002011056054663334,-0.045253032568354,-2.669903876929039,-2.01006296102159,-0.06911122436882411,20,0.45,0.518275344037003,96.30251695567054,False,ok
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,ADA/USDT:USDT,ATOM/USDT:USDT,1.7490221943536706,0.012505632188318561,0.002654366492666336,-0.034085028117524896,-1.6627017489647857,-1.2263658186132782,-0.051155956346475406,22,0.5454545454545454,0.6081654873951646,157.7584215708611,False,ok
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,DOGE/USDT:USDT,LTC/USDT:USDT,2.627763782330708,0.0009623961285527592,0.0001518673037683209,-0.03231430535390034,-1.0653107809267999,-0.7019938779819574,-0.07501486073937946,21,0.5714285714285714,0.679452746351237,93.15165362221597,False,ok
0,2023-03-23T15:00:00+00:00,2024-03-23T14:00:00+00:00,2024-03-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,LTC/USDT:USDT,BCH/USDT:USDT,0.44080665105885736,0.021566004528927273,0.004978097553907807,0.08412198549543648,3.149387637698008,2.52110999993461,-0.02731901947365789,25,0.72,3.4634259149944535,81.9838828945482,False,ok
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,DOGE/USDT:USDT,BCH/USDT:USDT,0.8930348429374814,0.03530598187813309,0.008852092572414698,0.020711415438217973,1.0065040103938463,0.7663686694093964,-0.057001629593090186,25,0.76,1.3749850319547967,152.17742517874382,False,ok
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,SOL/USDT:USDT,NEAR/USDT:USDT,0.6850667354038944,0.03906913618214834,0.009963930199468217,-0.10607526962553393,-3.2042772798911052,-2.8396505902680165,-0.1473663263126409,26,0.4230769230769231,0.3804701202483173,166.1937629168438,False,ok
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,DOGE/USDT:USDT,LTC/USDT:USDT,2.508022767274791,0.01986800967367088,0.0045296346769734775,-0.11829234616606887,-4.476619960047873,-3.0699183289735887,-0.14037833176459835,23,0.34782608695652173,0.27347249666493656,174.92660237855375,False,ok
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,ADA/USDT:USDT,ATOM/USDT:USDT,1.0003943862966407,0.0038060995944579055,0.0006819527222868535,-0.058993091554842336,-2.0354672448101083,-1.9766663969639895,-0.10622637310560534,21,0.5238095238095238,0.5935400518645406,160.9272499901519,False,ok
1,2023-06-23T15:00:00+00:00,2024-06-23T14:00:00+00:00,2024-06-23T15:00:00+00:00,2024-09-23T14:00:00+00:00,DOT/USDT:USDT,APT/USDT:USDT,0.6276115232297043,0.029072644427230874,0.007020669117955302,-0.10963878787220416,-4.6288630362342955,-3.39954410035457,-0.12578295379189364,21,0.42857142857142855,0.20792220673383788,120.43350204896251,False,ok
