asset_a,asset_b,start_date,end_date,observations,correlation,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,half_life,spread_mean,spread_std,selected
BTC/USDT:USDT,ETH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.5777015862353558,-0.6107061205908688,0.9554494379124343,-0.6077146671644224,0.8692292821823268,0.29351352379781476,2419.4508694215765,9.181766222945209,0.08589422312357886,False
BTC/USDT:USDT,BNB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.0823799885861167,-0.6513888491071257,0.9516339612196728,-0.6459626897430201,0.8602545409373401,0.048454568536439944,1962.2124653203753,11.247553854086132,0.10487286077033886,False
BTC/USDT:USDT,SOL/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8304224933391444,-1.4399756275152444,0.7834826303495925,-1.4395925265342053,0.5631547718938941,0.45265416773292044,725.2401448132346,9.251902608444222,0.058627529598645964,False
BTC/USDT:USDT,XRP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.872294583087587,-1.8901428897307084,0.5849978329749528,-1.8902977183619303,0.33663904562075986,0.5201546788138922,417.5977748387873,11.094311668899504,0.051455707014567274,False
BTC/USDT:USDT,ADA/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9391649297486339,-2.302773250127161,0.3721697746902699,-2.3025642000464654,0.1711422996483617,0.3416272078744309,246.03708913604737,11.729111576337658,0.03614316504798667,False
BTC/USDT:USDT,DOGE/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9049004015253154,-2.206363196988127,0.4210846057065693,-2.2061052422641763,0.20403707312535585,0.4331106578035724,327.2823451438099,12.295315831898538,0.04478857841411531,False
BTC/USDT:USDT,AVAX/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8984902024472,-1.9722963479664912,0.5429453197267134,-1.972027469424664,0.2989711245057336,0.3391182948933268,339.03876478479106,10.559080338603097,0.04619553071063267,False
BTC/USDT:USDT,LINK/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7442666444453955,-1.272060731356962,0.8380079706989829,-1.2718217043967561,0.6419633233951125,0.3268177231312744,958.9525909818676,10.650759705607204,0.07028164636576442,False
BTC/USDT:USDT,DOT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9175467080327868,-2.64250465236628,0.2209350056970698,-2.6434638691034715,0.08434270455255133,0.35829260401848495,238.1958238111562,11.152698778139625,0.04184261085478388,False
BTC/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8093768497702412,-1.8474427857230349,0.6064045660516486,-1.8470721633253493,0.3573545541106957,0.572753309498681,349.2426555116762,8.949952534321524,0.061800805519816385,False
BTC/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.06385121948746246,-0.49683995992216023,0.964555781132066,-0.48944537934762294,0.8940597550424538,0.07173156006150391,2351.524736403575,11.124099137605223,0.10501580980935978,False
BTC/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8950227002738878,-2.3991611032775233,0.32525240718796944,-2.4009690578234517,0.14146308606425384,0.32557761695892945,286.9001234607669,11.162575105126967,0.04693498754520476,False
BTC/USDT:USDT,NEAR/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8779568179127911,-2.5504892188891137,0.2572670084318166,-2.550311559684739,0.10370774966407736,0.46823750336288683,250.50542896444426,11.184107987891716,0.05037805104486806,False
BTC/USDT:USDT,APT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9069276830777989,-2.4558742126978084,0.2988686265086692,-2.4584111875867856,0.1259239404352691,0.25452160014860303,242.93929517556387,11.251113127925505,0.04433218881465004,False
BTC/USDT:USDT,ARB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.909203501446391,-2.4068656249650258,0.3216101807247864,-2.40661816905756,0.13987718567186785,0.28769500207006127,292.22889766017676,11.886206983961104,0.04381294651467568,False
BTC/USDT:USDT,OP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9079696966873365,-2.5980797104991633,0.23760465010266762,-2.5978362843748717,0.09344528858286388,0.26859276921558206,268.89514441926605,11.748099405977198,0.04409536714270541,False
ETH/USDT:USDT,BNB/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.6707255449598152,-0.9318082452780247,0.9150360664399021,-0.9314285381232359,0.7774464679574098,0.7764853994182559,1501.379402763452,2.906076330357874,0.1536203745922375,False
ETH/USDT:USDT,SOL/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8495614204448959,-1.792370124676691,0.6334207735238302,-1.7932089682924903,0.3838384266325667,0.911460065163402,671.5801012938946,3.4760133526692765,0.10925246250280375,False
ETH/USDT:USDT,XRP/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7578369540737634,-1.4721377191089713,0.771720285107182,-1.4731729667591602,0.5467381006460238,0.8894479862387662,922.6313576881065,7.331826139504137,0.13513270610934291,False
ETH/USDT:USDT,ADA/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.6908354829334097,-2.112355299363519,0.46991046482279686,-2.122071132073436,0.2357327927851227,0.49460746198725103,794.2388050073237,8.376917453020683,0.14974859005787203,False
ETH/USDT:USDT,DOGE/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7583242943146674,-1.8860795260253158,0.5870501719472951,-1.8179255157880483,0.37159918633984335,0.7143787099084422,827.5529592028213,9.34188843162888,0.1350153757867844,False
ETH/USDT:USDT,AVAX/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.7054322123844126,-2.2345129243146267,0.40664385291263655,-2.2434356300026064,0.19086002946576897,0.5240450280547241,749.2498751515127,6.583875093484259,0.14680035331314154,False
ETH/USDT:USDT,LINK/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.9279154199741063,-2.124362129836204,0.4636406928338085,-2.1249635204726003,0.23459582867460627,0.8019750913419633,365.0036400793787,5.885783134551857,0.07721157619793145,False
ETH/USDT:USDT,DOT/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.4551158423433607,-2.1803126213531905,0.4345378912914458,-2.2133627879589177,0.20143133254241058,0.34978973381986034,825.8566782863177,7.741528117338367,0.1844242893165125,False
ETH/USDT:USDT,LTC/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.8282138836935239,-2.1493099346700557,0.45063616352042146,-2.1520147271662795,0.2241196996028666,1.1535456322016293,311.3464748732925,2.866840436562711,0.11607128048043028,False
ETH/USDT:USDT,BCH/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.6079236504384748,-1.2137430342829152,0.8542654835753988,-1.2134201491952175,0.667796224063699,1.3442051747991268,836.7734062895339,-0.296268977528696,0.1644505302216806,False
ETH/USDT:USDT,ATOM/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.38958300432700066,-2.0186949713303655,0.5188473919420191,-2.020997750694239,0.27744287898743414,0.2789304552738339,832.8015398817286,7.8004759375796535,0.1907536245717052,False
ETH/USDT:USDT,NEAR/USDT:USDT,2023-03-23T15:00:00+00:00,2026-01-01T00:00:00+00:00,5000,0.5992281406008787,-2.0862963315518606,0.48353214453121074,-2.0951894412715593,0.24645334601343355,0.6290145386299723,807.3782878277107,7.628686472397554,0.1658139498843484,False
