trade_id,entry_time,exit_time,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,fees,slippage_cost,net_pnl,return_pct,duration_bars,exit_reason
1,2023-04-01 18:00:00+00:00,2023-04-01 19:00:00+00:00,SHORT_SPREAD,0.08128,17.641,0.08196,17.632,-30757.874015748028,96.26481747714826,-21.781737688002686,3.3665857044808645,1.683292852240432,-26.831616244723982,-0.006391207513508543,1,stop_z_exit
2,2023-04-03 18:00:00+00:00,2023-04-03 19:00:00+00:00,SHORT_SPREAD,0.10005,17.371,0.09695,17.278,-24987.50624687656,97.76107564989766,68.369489329877,3.323944896331195,1.6619724481655975,63.38357198538021,0.015097769653947987,1,stop_z_exit
3,2023-04-12 03:00:00+00:00,2023-04-13 13:00:00+00:00,LONG_SPREAD,0.08139,17.747,0.08667,18.816,30716.304214276937,-95.6898430785131,59.88964400045159,3.4643559274924227,1.7321779637462111,54.69311010921295,0.01302772867198734,34,mean_reversion_exit
4,2023-04-14 02:00:00+00:00,2023-04-14 15:00:00+00:00,SHORT_SPREAD,0.0896,19.095,0.08573,18.565,-27901.785714285714,88.9346763610564,60.844532242926,3.29652000041724,1.6482600002086198,55.89975224230014,0.013315147074097916,13,mean_reversion_exit
5,2023-04-17 01:00:00+00:00,2023-04-17 07:00:00+00:00,LONG_SPREAD,0.08896,20.241,0.09314,20.61,28102.51798561151,-83.89939455137454,86.50964859039902,3.417937076799223,1.7089685383996116,81.38274297520019,0.019385116186406037,6,mean_reversion_exit
6,2023-04-17 16:00:00+00:00,2023-04-18 15:00:00+00:00,LONG_SPREAD,0.09063,20.89,0.09379,21.154,27584.684982897496,-81.29285041236822,65.70629203709083,3.402017682913427,1.7010088414567133,60.6032655127207,0.014435509301986818,23,mean_reversion_exit
7,2023-04-20 01:00:00+00:00,2023-04-20 13:00:00+00:00,SHORT_SPREAD,0.09088,19.119,0.08809,19.341,-27508.802816901407,88.8230370372076,96.46827408141516,3.3357537778367408,1.6678768889183702,91.46464341466005,0.02178659350523103,12,mean_reversion_exit
8,2023-04-25 21:00:00+00:00,2023-04-26 09:00:00+00:00,LONG_SPREAD,0.07965,17.678,0.08102,17.687,31387.319522912745,-96.06333550822333,42.136057726816304,3.3761121951978836,1.6880560975989418,37.07188943401948,0.00883040872863008,12,mean_reversion_exit
9,2023-04-29 17:00:00+00:00,2023-04-30 16:00:00+00:00,SHORT_SPREAD,0.08107,17.478,0.08123,17.676,-30837.547798199084,97.16258411227669,14.304184006518822,3.3682349958122755,1.6841174979061375,9.25183151280041,0.0022037574829265887,23,mean_reversion_exit
10,2023-05-03 19:00:00+00:00,2023-05-03 22:00:00+00:00,LONG_SPREAD,0.0777,16.933,0.08035,17.274,32175.032175032175,-100.28982726713353,51.06500416574261,3.4063511826362696,1.7031755913181348,45.9554773917882,0.010946451742392612,3,mean_reversion_exit
